Date,INR,Oil,DXY,Nifty,INR_return,Oil_return,DXY_return,Nifty_return
2020-01-03,71.41500091552734,68.5999984741211,96.83999633789062,12226.650390625,0.005491015575780578,0.03547167508107307,-0.00010327451097624785,-0.004522789386603554
2020-01-06,71.73100280761719,68.91000366210938,96.66999816894533,11993.0498046875,0.004424867157302392,0.004519026164486517,-0.0017554541034072724,-0.019105853072941215
2020-01-07,71.78700256347656,68.2699966430664,96.9800033569336,12052.9501953125,0.000780691105205511,-0.00928757778306255,0.0032068397006326244,0.004994592001242859
2020-01-08,72.16000366210938,65.44000244140625,97.3000030517578,12025.349609375,0.005195941957640393,-0.04145297115592539,0.0032996461512426745,-0.0022899444111396106
2020-01-09,71.41190338134766,65.37000274658203,97.4499969482422,12215.900390625,-0.010367242832535206,-0.0010696774482380489,0.0015415610665974189,0.015845758122611686
2020-01-10,71.19429779052734,64.9800033569336,97.36000061035156,12256.7998046875,-0.003047189341226164,-0.005966029880101642,-0.0009235129882911863,0.0033480474426501594
2020-01-13,70.9530029296875,64.19999694824219,97.3499984741211,12329.5498046875,-0.0033892441997223077,-0.01200379144960717,-0.00010273352678480396,0.0059354808073293075
2020-01-14,70.71890258789062,64.48999786376953,97.37000274658205,12362.2998046875,-0.0032993718677257755,0.004517148431660178,0.0002054881640936035,0.0026562202609821117
2020-01-15,70.84510040283203,64.0,97.2300033569336,12343.2998046875,0.0017844990564519492,-0.007598044347971844,-0.0014378082129957725,-0.0015369308543056182
2020-01-16,70.71800231933594,64.62000274658203,97.31999969482422,12355.5,-0.0017940278547620148,0.009687542915344238,0.0009256025381407795,0.000988406301843714
2020-01-17,70.94560241699219,64.8499984741211,97.61000061035156,12352.349609375,0.0032184180858008116,0.003559203308007186,0.0029798696715652717,-0.000254978804985595
2020-01-21,71.03099822998047,64.58999633789062,97.52999877929688,12169.849609375,0.0012036801447727896,-0.004009285155715525,-0.0008196069107103687,-0.014774517057183134
2020-01-22,71.16999816894531,63.209999084472656,97.52999877929688,12106.900390625,0.0019568912507015312,-0.021365495148796265,0.0,-0.005172555189302153
2020-01-23,71.0781021118164,62.040000915527344,97.69000244140624,12180.349609375,-0.0012912190458507222,-0.018509700773476467,0.0016405584344509894,0.0060667236352978104
2020-01-24,71.32099914550781,60.68999862670898,97.8499984741211,12248.25,0.003417325821520878,-0.021760191310385535,0.0016377933126865418,0.005574584704263197
2020-01-27,71.32499694824219,59.31999969482422,97.95999908447266,12119.0,5.6053655757448695e-05,-0.022573718287774658,0.0011241759025746312,-0.010552527912150667
2020-01-28,71.44000244140625,59.5099983215332,98.0199966430664,12055.7998046875,0.001612414974900389,0.0032029438247882513,0.0006124699791187904,-0.005214967844912932
2020-01-29,71.23040008544922,59.810001373291016,97.98999786376952,12129.5,-0.0029339634489646826,0.005041220974951077,-0.0003060475446262645,0.006113256399948197
2020-01-30,71.30000305175781,58.290000915527344,97.87000274658205,12035.7998046875,0.0009771525391559788,-0.025413817469705835,-0.0012245649536016812,-0.0077249841553650445
2020-01-31,71.63999938964844,58.15999984741211,97.38999938964844,11962.099609375,0.0047685318841266255,-0.0022302464586272386,-0.004904499269061002,-0.006123414854723341
2020-02-03,71.49649810791016,54.45000076293945,97.8000030517578,11707.900390625,-0.00200308881854927,-0.0637895305056081,0.004209915439766787,-0.021250384719316173
2020-02-04,71.31410217285156,53.959999084472656,97.95999908447266,11979.650390625,-0.0025511170460866817,-0.008999112426097633,0.0016359512037047441,0.02321082268667074
2020-02-05,71.0999984741211,55.27999877929688,98.2699966430664,12089.150390625,-0.0030022631177705206,0.02446255962231958,0.0031645320691195966,0.009140500467834434
2020-02-06,71.18000030517578,54.93000030517578,98.5,12137.9501953125,0.0011252015860985232,-0.006331376299743674,0.0023405247256598205,0.004036661230167438
2020-02-07,71.47000122070312,54.470001220703125,98.68000030517578,12098.349609375,0.004074190984602488,-0.008374277843018918,0.001827414265743954,-0.0032625431230384194
2020-02-10,71.5155029296875,53.27000045776367,98.83000183105467,12031.5,0.0006366546552007968,-0.022030489003979525,0.001520080314298733,-0.005525514763038308
2020-02-11,71.27999877929688,54.0099983215332,98.72000122070312,12107.900390625,-0.003293050328152858,0.013891455930364671,-0.0011130285167816334,0.006350030388978967
2020-02-12,71.27529907226562,55.790000915527344,99.0500030517578,12201.2001953125,-6.593304028812419e-05,0.03295690889300529,0.0033428061889597682,0.0077056964194832656
2020-02-13,71.29620361328125,56.34000015258789,99.06999969482422,12174.650390625,0.0002932929259886752,0.009858383725307895,0.00020188432559642422,-0.0021759994314084485
2020-02-14,71.26850128173828,57.31999969482422,99.12000274658205,12113.4501953125,-0.00038855268778725804,0.017394383024177396,0.0005047244565645759,-0.005026854435148831
2020-02-18,71.34919738769531,57.75,99.45999908447266,11992.5,0.0011322829090796294,0.007501749955777015,0.0034301485923065034,-0.009984784959061743
2020-02-19,71.57499694824219,59.119998931884766,99.5999984741211,12125.900390625,0.003164710589804276,0.023722925227441793,0.0014075949219498618,0.011123651500938081
2020-02-20,71.82749938964844,59.310001373291016,99.87000274658205,12080.849609375,0.0035278023356235533,0.003213843789563686,0.002710886311219296,-0.003715252459506435
2020-02-24,71.88680267333984,56.29999923706055,99.29000091552734,11829.400390625,0.0008256348083302001,-0.050750329902807256,-0.005807567989423612,-0.02081386879900149
2020-02-25,72.04669952392578,54.95000076293945,98.97000122070312,11797.900390625,0.0022242865816766155,-0.02397865883508632,-0.0032228793622075536,-0.002662856861702312
2020-02-26,71.87000274658203,53.43000030517578,99.0,11678.5,-0.0024525311847917175,-0.02766151841054787,0.0003031098204189231,-0.010120477938589723
2020-02-27,71.66339874267578,52.18000030517578,98.44000244140624,11633.2998046875,-0.002874690357738685,-0.023395096254171466,-0.005656540995896631,-0.003870376787472707
2020-02-28,71.93000030517578,50.52000045776367,98.12999725341795,11201.75,0.0037201914391096214,-0.03181295204491308,-0.00314917899532563,-0.03709607866493836
2020-03-02,72.1500015258789,51.900001525878906,97.36000061035156,11132.75,0.003058546083271718,0.027315935384223833,-0.007846699934963786,-0.006159751824491688
2020-03-03,72.82499694824219,51.86000061035156,97.1500015258789,11303.2998046875,0.009355445711545451,-0.000770730527000052,-0.0021569338861562315,0.015319647408546855
