Date,INR,Oil
2020-01-02,71.0250015258789,66.25
2020-01-03,71.41500091552734,68.5999984741211
2020-01-06,71.73100280761719,68.91000366210938
2020-01-07,71.78700256347656,68.2699966430664
2020-01-08,72.16000366210938,65.44000244140625
2020-01-09,71.41190338134766,65.37000274658203
2020-01-10,71.19429779052734,64.9800033569336
2020-01-13,70.9530029296875,64.19999694824219
2020-01-14,70.71890258789062,64.48999786376953
2020-01-15,70.84510040283203,64.0
2020-01-16,70.71800231933594,64.62000274658203
2020-01-17,70.94560241699219,64.8499984741211
2020-01-21,71.03099822998047,64.58999633789062
2020-01-22,71.16999816894531,63.209999084472656
2020-01-23,71.0781021118164,62.040000915527344
2020-01-24,71.32099914550781,60.68999862670898
2020-01-27,71.32499694824219,59.31999969482422
2020-01-28,71.44000244140625,59.5099983215332
2020-01-29,71.23040008544922,59.810001373291016
2020-01-30,71.30000305175781,58.290000915527344
2020-01-31,71.63999938964844,58.15999984741211
2020-02-03,71.49649810791016,54.45000076293945
2020-02-04,71.31410217285156,53.959999084472656
2020-02-05,71.0999984741211,55.27999877929688
2020-02-06,71.18000030517578,54.93000030517578
2020-02-07,71.47000122070312,54.470001220703125
2020-02-10,71.5155029296875,53.27000045776367
2020-02-11,71.27999877929688,54.0099983215332
2020-02-12,71.27529907226562,55.790000915527344
2020-02-13,71.29620361328125,56.34000015258789
2020-02-14,71.26850128173828,57.31999969482422
2020-02-18,71.34919738769531,57.75
2020-02-19,71.57499694824219,59.119998931884766
2020-02-20,71.82749938964844,59.310001373291016
2020-02-21,72.11000061035156,58.5
2020-02-24,71.88680267333984,56.29999923706055
2020-02-25,72.04669952392578,54.95000076293945
2020-02-26,71.87000274658203,53.43000030517578
2020-02-27,71.66339874267578,52.18000030517578
2020-02-28,71.93000030517578,50.52000045776367
2020-03-02,72.1500015258789,51.900001525878906
2020-03-03,72.82499694824219,51.86000061035156
2020-03-04,73.34200286865234,51.130001068115234
2020-03-05,74.0425033569336,49.9900016784668
2020-03-06,73.8551025390625,45.27000045776367
2020-03-09,73.99530029296875,34.36000061035156
2020-03-10,74.40599822998047,37.220001220703125
2020-03-11,74.20500183105469,35.790000915527344
2020-03-12,74.76000213623047,33.220001220703125
2020-03-13,75.30000305175781,33.849998474121094
2020-03-16,73.90399932861328,30.049999237060547
2020-03-17,75.15499877929688,28.729999542236328
2020-03-18,74.01239776611328,24.8799991607666
2020-03-19,74.98200225830078,28.46999931335449
2020-03-20,75.15969848632812,26.979999542236328
2020-03-23,75.62210083007812,27.030000686645508
2020-03-24,76.50599670410156,27.149999618530277
2020-03-25,77.26000213623047,27.38999938964844
2020-03-26,75.84549713134766,26.34000015258789
2020-03-27,74.72560119628906,24.93000030517578
2020-03-30,75.46499633789062,22.76000022888184
2020-03-31,75.4000015258789,22.739999771118164
2020-04-01,75.32499694824219,24.739999771118164
2020-04-02,77.56999969482422,29.940000534057617
2020-04-03,77.13999938964844,34.11000061035156
2020-04-06,76.2300033569336,33.04999923706055
2020-04-07,75.96489715576172,31.8700008392334
2020-04-08,76.66000366210938,32.84000015258789
2020-04-09,75.95899963378906,31.479999542236328
2020-04-13,76.16649627685547,31.739999771118164
2020-04-14,76.91000366210938,29.600000381469727
2020-04-15,75.93099975585938,27.690000534057617
2020-04-16,77.2125015258789,27.81999969482422
2020-04-17,77.56999969482422,28.07999992370605
2020-04-20,76.55999755859375,25.56999969482422
2020-04-21,77.20999908447266,19.32999992370605
2020-04-22,76.96939849853516,20.3700008392334
2020-04-23,76.4000015258789,21.32999992370605
2020-04-24,76.42250061035156,21.440000534057617
2020-04-27,76.27149963378906,19.989999771118164
2020-04-28,76.1863021850586,20.459999084472656
2020-04-29,76.46499633789062,22.540000915527344
2020-04-30,75.25849914550781,25.270000457763672
2020-05-01,75.72000122070312,26.440000534057617
2020-05-04,75.60050201416016,27.200000762939453
2020-05-05,75.8499984741211,30.96999931335449
2020-05-06,76.16999816894531,29.71999931335449
2020-05-07,76.15129852294922,29.459999084472656
2020-05-08,76.08000183105469,30.96999931335449
2020-05-11,75.5250015258789,29.6299991607666
2020-05-12,76.30999755859375,29.979999542236328
2020-05-13,75.68000030517578,29.190000534057617
2020-05-14,75.42620086669922,31.1299991607666
2020-05-15,75.48500061035156,32.5
2020-05-18,75.81999969482422,34.810001373291016
2020-05-19,75.60009765625,34.650001525878906
2020-05-20,76.0,35.75
2020-05-21,75.77999877929688,36.060001373291016
2020-05-22,75.625,35.130001068115234
2020-05-26,76.11000061035156,36.16999816894531
2020-05-27,75.81999969482422,34.7400016784668
2020-05-28,76.12999725341797,35.290000915527344
2020-05-29,75.95999908447266,35.33000183105469
2020-06-01,75.51319885253906,38.31999969482422
2020-06-02,75.7300033569336,39.56999969482422
2020-06-03,75.06580352783203,39.790000915527344
2020-06-04,75.54499816894531,39.9900016784668
2020-06-05,75.49089813232422,42.29999923706055
2020-06-08,75.5177001953125,40.79999923706055
2020-06-09,75.625,41.18000030517578
2020-06-10,75.50980377197266,41.72999954223633
2020-06-11,75.875,38.54999923706055
2020-06-12,76.38999938964844,38.72999954223633
2020-06-15,75.95680236816406,39.720001220703125
2020-06-16,75.97799682617188,40.959999084472656
2020-06-17,76.65499877929688,40.709999084472656
2020-06-18,76.55000305175781,41.5099983215332
2020-06-19,76.40039825439453,42.18999862670898
2020-06-22,76.2520980834961,43.08000183105469
2020-06-23,75.78980255126953,42.630001068115234
2020-06-24,75.60780334472656,40.310001373291016
2020-06-25,75.97000122070312,41.04999923706055
