Date,INR,Oil,INR_return,Oil_return
2020-01-03,71.41500091552734,68.5999984741211,0.005491015575780578,0.03547167508107307
2020-01-06,71.73100280761719,68.91000366210938,0.004424867157302392,0.004519026164486517
2020-01-07,71.78700256347656,68.2699966430664,0.000780691105205511,-0.00928757778306255
2020-01-08,72.16000366210938,65.44000244140625,0.005195941957640393,-0.04145297115592539
2020-01-09,71.41190338134766,65.37000274658203,-0.010367242832535206,-0.0010696774482380489
2020-01-10,71.19429779052734,64.9800033569336,-0.003047189341226164,-0.005966029880101642
2020-01-13,70.9530029296875,64.19999694824219,-0.0033892441997223077,-0.01200379144960717
2020-01-14,70.71890258789062,64.48999786376953,-0.0032993718677257755,0.004517148431660178
2020-01-15,70.84510040283203,64.0,0.0017844990564519492,-0.007598044347971844
2020-01-16,70.71800231933594,64.62000274658203,-0.0017940278547620148,0.009687542915344238
2020-01-17,70.94560241699219,64.8499984741211,0.0032184180858008116,0.003559203308007186
2020-01-21,71.03099822998047,64.58999633789062,0.0012036801447727896,-0.004009285155715525
2020-01-22,71.16999816894531,63.209999084472656,0.0019568912507015312,-0.021365495148796265
2020-01-23,71.0781021118164,62.040000915527344,-0.0012912190458507222,-0.018509700773476467
2020-01-24,71.32099914550781,60.68999862670898,0.003417325821520878,-0.021760191310385535
2020-01-27,71.32499694824219,59.31999969482422,5.6053655757448695e-05,-0.022573718287774658
2020-01-28,71.44000244140625,59.5099983215332,0.001612414974900389,0.0032029438247882513
2020-01-29,71.23040008544922,59.810001373291016,-0.0029339634489646826,0.005041220974951077
2020-01-30,71.30000305175781,58.290000915527344,0.0009771525391559788,-0.025413817469705835
2020-01-31,71.63999938964844,58.15999984741211,0.0047685318841266255,-0.0022302464586272386
2020-02-03,71.49649810791016,54.45000076293945,-0.00200308881854927,-0.0637895305056081
2020-02-04,71.31410217285156,53.959999084472656,-0.0025511170460866817,-0.008999112426097633
2020-02-05,71.0999984741211,55.27999877929688,-0.0030022631177705206,0.02446255962231958
2020-02-06,71.18000030517578,54.93000030517578,0.0011252015860985232,-0.006331376299743674
2020-02-07,71.47000122070312,54.470001220703125,0.004074190984602488,-0.008374277843018918
2020-02-10,71.5155029296875,53.27000045776367,0.0006366546552007968,-0.022030489003979525
